Data Scientist,https://krasnodar.hh.ru/vacancy/54738403?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ФГБУ ЦСП ФМБА России,https://hh.ru/,,,
Data Scientist (Валидация скоринговых моделей),https://krasnodar.hh.ru/vacancy/50388691?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Банк ВТБ (ПАО),https://hh.ru/,,,
Senior Data Scientist (computer vision),https://krasnodar.hh.ru/vacancy/54717873?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,inDriver,https://hh.ru/,,,
Руководитель команды по работе с данными (data-scientist),https://krasnodar.hh.ru/vacancy/55859386?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,НСК,https://hh.ru/,,,
Data Scientist (CV Researcher),https://krasnodar.hh.ru/vacancy/55559675?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер. IT,https://hh.ru/,,,
Аналитик данных (Data Scientist),https://krasnodar.hh.ru/vacancy/55514389?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Интеллектуальные решения,https://hh.ru/,100000200000.0,100000200000.0,руб.
Data Scientist на продукт скоринг,https://krasnodar.hh.ru/vacancy/55536655?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"ПАО «МТС», IT",https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/55083625?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"Технологии Доверия, Департамент Консалтинг",https://hh.ru/,,,
Machine Learning Engineer,https://krasnodar.hh.ru/vacancy/55595118?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер. Data Science,https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/55569027?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,МСП Банк,https://hh.ru/,,,
Middle data scientist (Рекомендательные системы),https://krasnodar.hh.ru/vacancy/54692864?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"Компания «СПОРТМАСТЕР», Sportmaster Lab",https://hh.ru/,,,
Data scientist,https://krasnodar.hh.ru/vacancy/54430140?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,EcoFinance,https://hh.ru/,,,
Senior Data Scientist (Antifraud),https://krasnodar.hh.ru/vacancy/54789914?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,inDriver,https://hh.ru/,,,
IT - Data & Business Analyst,https://krasnodar.hh.ru/vacancy/55573516?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Valuement Russia,https://hh.ru/,,,
Аналитик данных / Data analyst / Data scientist,https://krasnodar.hh.ru/vacancy/55096122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО АТОН,https://hh.ru/,,,
Senior Data Scientist (ML),https://krasnodar.hh.ru/vacancy/55094281?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер. Data Science,https://hh.ru/,,,
Middle Data Scientist/Data Analyst,https://krasnodar.hh.ru/vacancy/52305783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО START.RU,https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/51611398?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО Эр-1,https://hh.ru/,,,
Senior Data Scientist (NLP),https://krasnodar.hh.ru/vacancy/43658985?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО Актион Технологии,https://hh.ru/,,,
Риск-Аналитик (Data scientist),https://krasnodar.hh.ru/vacancy/55186446?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ID Finance,https://hh.ru/,,,
Data engineer/ Инженер по данным (удаленно),https://krasnodar.hh.ru/vacancy/55218492?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,билайн: ИТ и Digital,https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/52466493?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ПАО МТС Банк. Головной офис,https://hh.ru/,,,
Data scientist (Персонализация),https://krasnodar.hh.ru/vacancy/54829296?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"Компания «СПОРТМАСТЕР», Sportmaster Lab",https://hh.ru/,,,
"Data Scientist, Поиск и Каталог, NLP",https://krasnodar.hh.ru/vacancy/55433924?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Ozon Информационные технологии,https://hh.ru/,,,
Commercial Data Scientist / Эксперт по наукоемким методам анализа данных в сфере маркетинга и продаж,https://krasnodar.hh.ru/vacancy/55048457?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Bayer,https://hh.ru/,,,
Бизнес-аналитик в Data science,https://krasnodar.hh.ru/vacancy/55517668?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер. Data Science,https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/54925403?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,dentsu,https://hh.ru/,,,
ML Engineer / Data Scientist,https://krasnodar.hh.ru/vacancy/54766218?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО Эр-1,https://hh.ru/,,,
Data Engineer (MTS AI),https://krasnodar.hh.ru/vacancy/55100061?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"ПАО «МТС», IT",https://hh.ru/,,,
Senior Data Scientist,https://krasnodar.hh.ru/vacancy/55441882?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Hoodies,https://hh.ru/,5000.0,5000.0,USD
Data scientist,https://krasnodar.hh.ru/vacancy/55257381?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ПАО Промсвязьбанк,https://hh.ru/,,,
